key,en,ar,cs,de,es,fi,fr,it,ja,ko,nb,nl,pl,pt,ru,tr,zh
action.view_room,View Room,,Zobrazit Místnost,Raum anzeigen,Mirar sala,Näytä huone,Voir la salle,Vedi la stanza,ルームを見る,방을 보기,,Bekijk kamer,Zobacz Pokój,Ver sala,Просмотреть комнату,Odayı Görüntüle,
action.recomp_nand_copy,Make a copy,,,,,,,,,,,,,,,,
action.recomp_nand_share,Use directly,,,,,,,,,,,,,,,,
action.link.discord,Talk to us!,,Mluvte s námi!,Rede mit uns!,¡Habla con nosotros!,Puhu meille!,Parlez-nous-en !,Parla con noi!,お問い合わせ,문의하기!,,Kom gezellig praten!,Pogadaj z nami!,Fala connosco!,Наш Discord-сервер,Bizimle İletişime Geçin!,
action.link.github,Source code,,Zdrojový kód,Quellcode,Codigo Fuente,Lähdekoodi,Code Source,Codice sorgente,ソースコード,소스 코드,,Source code,Kod źródłowy,Código-fonte,Исходный код,Kaynak Kodu,
action.link.support,Support us!,,Podpořte nás!,Unterstützt uns!,¡Apoyanos!,Tue meitä!,Supportez-nous !,Supportaci!,サポート,후원하기!,,Steun ons!,Wesprzyj nas!,Apoia-nos!,Поддержать нас,Bize Destek Olun!,
action.launch_dolphin,Launch Dolphin,,Spouštět Dolphin,Dolphin starten,Lanzar Dolphin,Käynnistä Dolphin,Lancer Dolphin,Lancia Dolphin,Dolphinを起動する,Dolphin 실행,,Dolphin opstarten,Uruchom Dolphin,Iniciar o Dolphin,Запустить Dolphin,Dolphin'i başlat,
action.randomize,Randomize,,Náhodně Rozdělit,Zufällig,Aleatorizar,Satunnaista,Aléatoire,Casuale,ランダム,랜덤,,Willekeurig,Losuj,Aleatorizar,Случайный,Rastgele Seç,
action.do_manually,Do manually,,Udělat ručně,Manuell durchführen,Hacer manualmente,Tee manuaalisesti,Faire manuellement,Fai manualmente,手動で行う,직접 하기,,Handmatig doen,Wykonaj ręcznie,Fazer manualmente,Сделать вручную,El ile yap,
action.gamebanana_page,Gamebanana page,,Stránka Gamebanana,Gamebanana-Seite,Página de Gamebanana,Gamebanana-sivusto,Page Gamebanana,Pagina di GameBanana,Gamebananaのページ,Gamebanana 페이지,,GameBanana-pagina,Strona Gamebanana,Página do GameBanana,Страница на GameBanana,Gamebanana Sayfası,
action.report,Report,,Nahlásít,Melden,Reportar,Ilmoita,Signaler,Segnala,報告する,신고,,Melden,Zgłoś,Reportar,Пожаловаться,Raporla,
action.un_install,Uninstall,,Odinstalovat,Deinstallieren,Desinstalar,Poista asennus,Désinstaller,Disinstalla,アンインストール,삭제,,Deïnstalleren,Odinstaluj,Desinstalar,Удалить,Yüklemeye Kaldır,
action.download_and_install,Download and Install,,Stáhnout a Nainstalovat,Herunterladen und Installieren,Descargar e Instalar,Lataa ja asenna,Télécharger et installer,Scarica ed installa,ダウンロードとインストール,다운로드 및 설치,,Download en installeren,Pobierz i Instaluj,Fazer Download e Instalar,Загрузить и установить,İndir ve Yükle,
action.view_custom_chars,View Custom Characters,,Zobrazit Vlastní Postavy,Benutzerdefinierte Charaktere ansehen,Ver Personajes Custom,Näytä mukautetut hahmot,Voir les caractères spéciaux,Vedi personaggi personalizzati,特殊記号を見る,커스텀 캐릭터 보기,,Speciale tekens tonen,Zobacz Niestandardowe Znaki,Ver Personagens Customizadas,Показать пользовательских персонажей,Özel Karakterleri Görüntüle,
action.submit,Submit,,Odeslat,Senden,Enviar,Lähetä,Soumettre,Invia,提出,보내기,,Bevestigen,Potwierdź,Submeter,Подтведрить,Gönder,
region.japan,Japan,,Japonsko,Japan,Japón,Japani,Japon,Giappone,日本,일본,,Japan,Japonia,Japão,Япония,Japonya,
region.europe,Europe,,Evropa,Europa,Europa,Eurooppa,Europe,Europa,ヨーロッパ,유럽,,Europa,Europa,Europa,Европа,Avrupa,
region.china,China,,Čína,China,China,Kiina,Chine,Cina,中国,중국,,China,Chiny,China,Китай,Çin,
region.south_korea,South Korea,,Jižní Korea,Südkorea,Corea del Sur,Etelä-Korea,Corée Du Sud,Corea del Sud,韓国,대한민국,,Zuid-Korea,Korea Południowa,Coreia do Sul,Южная Корея,Güney Kore,
region.taiwan,Taiwan,,Tchaj-wan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,台湾,대만,,Taiwan,Tajwan,Taiwan,Тайвань,Tayvan,
region.america,America,,Amerika,Amerika,América,Amerikka,Amérique,America,アメリカ合衆国,아메리카,,Amerika,Ameryka,América,Америка,Amerika,
region.australia,Australia,,Austrálie,Australien,Australia,Australia,Australie,Australia,オーストラリア,호주,,Australië,Australia,Austrália,Австралия,Avustralya,
list_title.friends,Friends,,Kamarádi,Freunde,Amigos,Kaverit,Amis,Amici,フレンド,친구,,Vrienden,Przyjaciele,Amigos,Друзья,Arkadaşlar,
list_title.players,Players,,Hráči,Spieler,Jugadores,Pelaajat,Joueurs,Giocatori,プレイヤー,플레이어,,Spelers,Gracze,Jogadores,Игроки,Oyuncular,
list_title.rooms,Rooms,,Místnosti,Räume,Salas,Huoneet,Salles,Stanze,ルーム,룸,,Kamers,Pokoje,Salas não econtradas,Комнаты,Odalar,
list_title.miis,Miis,,Miiy,Miis,Miis,Miit,Miis,Mii,Mii,Mii,,Mii's,Mii,Miis,Mii,Mii'ler,
popup_title.mod_details,Mod Details,,,Details zur Mod,,Modin tiedot,Détails du mod,Dettagli della mod,Modの詳細,모드 세부사항,,Mod-details,Szczegóły Moda,Detalhes do mod,Описание мода,Mod Detayları,
popup_title.mod_browser,Mod Browser,,,Mod Browser,,Modiselain,Navigateur des mods,Ricercatore delle mod,Modブラウザー,모드 브라우저,,Mod-browser,Przeglądacz Modów,Navegador de mods,Браузер модов,Mod Gezgini,
popup_title.mii_selector,Mii Selector,,,Mii Auswähler,,Miin valinta,Sélection de Mii,Selettore Mi,Miiセレクター,Mii 셀렉터,,Mii-selector,Selektor Mii,Seletor Mii,Выбор Mii,Mii Seçici,
popup_title.mii_editor,Mii Editor,,,Mii Maker,,Mii-editori,Éditeur de Mii,Creatore Mii,Miiエディター,Mii 에디터,,Mii-editor,Edytor Mii,Editor Mii,Редактор Mii,Mii Düzenleyicisi,
popup_title.mii_carousel,Mii Carousel,,,Mii Preview,,Miin katselu,Vue d'ensemble du Mii,Visualizzatore Mii,Miiスライダー,Mii 슬라이더,,Mii-carrousel,,Carrosel Mii,Карусель Mii,Mii Görüntüleyicisi,
text.made_by_string,Made by: {$1} \n And {$2},,Vytvořili: {$1} \n a {$2},Erstellt von: {$1} \n und {$2},Hecho por: {$1} y {$2},Tehnyt: {$1}\n ja {$2},Fait par: {$1} \n et {$2},Fatto da: {$1} \n e {$2},作成者: {$1} \nと {$2},만든이: {$1} \n 과 {$2},,Gemaakt door {$1} \n en {$2},Stworzone przez: {$1} \n i {$2},Feito por: {$1} \n e {$2},Создатели: {$1}\nи {$2},Yapımcı: {$1} \n Ve {$2},
text.thanks_translators,Thanks a lot to all the translators:,,Díky moc všem překladatelům:,Vielen Dank an alle Übersetzer:,Muchas gracias a todos los traductores:,Suuret kiitokset kaikille kääntäjille:,Merci à tous les traducteurs:,Grazie a tutti i traduttori:,すべての翻訳者さんに感謝します:,모든 번역가 분들에게 감사드립니다:,,Hartelijk dank aan alle vertalers:,Dziękujemy bardzo wszystkim tłumaczą:,Muito obrigado a todos os tradutores:,Низкий поклон и спасибо переводчикам:,Tüm çevirmenlere çok teşekkür ederiz:,
text.wh_wz_translation_percentage,Translations for this language are {$1}% complete,,Překlady pro tento jazyk jsou z {$1}% kompletní,Übersetzungen für diese Sprache sind {$1}% abgeschlossen,La traducción de este idioma está a un {$1}%.,Tämän kielen käännökset ovat {$1} % valmiita.,La traduction pour cette langue est fini à {$1}%,Traduzioni per questa lingua sono complete al {$1}%,この言語の翻訳は{$1}%完了しています,해당 언어의 번역은 {$1}% 완료됐습니다.,,Vertalingen voor deze taal zijn {$1}% voltooid.,Tłumaczenie dla tego języka jest skończone w {$1}%,Traduções para esta língua estão {$1}% completas,Перевод на этот язык завершён на {$1}%,Bu dilin çevirileri {$1}% tamamlandı,
text.powered_gamebanana,Powered By GameBanana,,Poháněno společností GameBanana,Von GameBanana unterstützt,,Palvelun tarjoaa GameBanana,Contribué par GameBanana,Offerto da GameBanana,GameBananaによって提供されています,GameBanana 제공,,Mogelijk gemaakt door GameBanana.,Wsparci Przez Gamebanana,Contribuido pelo GameBanana,Моды из GameBanana,GameBanana tarafından,
text.language_translated_by,This language is translated by: {$1},,Tento jazyk překládá: {$1},Diese Sprache wurde übersetzt von: {$1},,Tämän kielen käännökset tarjoaa: {$1},Cette langue a été traduite par: {$1},Questa lingua è stata tradotta da: {$1},この言語はこれらの方が翻訳しました: {$1},해당 언어는 다음 분들이 번역하셨습니다: {$1},,Taal vertaald door: {$1},Ten język jest przetłumaczony przez: {$1},Esta língua é traduzida por: {$1},Авторы перевода: {$1},Bu dili çevirenler: {$1},
text.brsar_entry,{$1} entry {$2},,,,,,,,,,,,,{$1} entrada {$2},,,
text.brsar_entry_with_rwar,{$1} entry {$2} + RWAR,,,,,,,,,,,,,{$1} entrada {$2} + RWAR,,,
text.external_reference,External reference,,,,,Ulkoinen viite,,,,,,,,Referência externa,,,
text.external_reference_with_path,External reference: {$1},,,,,Ulkoinen viite: {$1},,,,,,,,Referência externa: {$1},,,
text.modified_archive_member,Modified archive member,,,,,,,,,,,,,Item do arquivo modificado,,,
text.new_archive_member,New archive member,,,,,,,,,,,,,Novo item do arquivo modificado,,,
text.whole_file_override,Whole-file override,,,,,,,,,,,,,Substituição do arquivo inteiro,,,
hover.players_online.0,There are currently no players online,,Právě nejsou žádní hráči online,Zurzeit sind keine Spieler online,No hay jugadores en línea,Ei pelaajia online-tilassa,Il n'y a actuellement aucun joueurs en ligne,Al momento non ci sono giocatori online,現在 オンラインのプレイヤーがいません,모두 오프라인이네요...,,Er zijn momenteel geen spelers online.,Nie ma żadnych graczy online,Não há jogadores online,Игроков в сети: 0,Şu anda çevrimiçi oyuncu yok.,
hover.players_online.1,There is currently 1 player online,,Právě je 1 hráč online,Zurzeit ist nur 1 Spieler online,Hay 1 jugador en línea,1 pelaaja on online-tilassa,Il y a actuellement 1 joueur en ligne,Al momento c'è 1 giocatore online,現在 オンラインのプレイヤーが 1人います,1 명의 친구가 온라인입니다,,Er is momenteel 1 speler online.,Jest 1 gracz online,Há 1 jogador online,Игроков в сети: 1,Şu anda çevrimiçi 1 oyuncu var,
hover.players_online.n,There are currently {$1} players online,,Právě jsou {$1} hráči online,Zurzeit sind {$1} Spieler online,Hay {$1} jugadores en línea,{$1} pelaajaa on online-tilassa,Il y a actuellement {$1} joueurs en ligne,Al momento ci sono {$1} giocatori online,現在 オンラインのプレイヤーが {$1}人います,{$1} 명의 친구가 온라인입니다,,Er zijn momenteel {$1} spelers online.,jest teraz {$1} graczy online,Há {$1} jogadores online,Игроков в сети: {$1},Şu anda çevrimiçi {$1} oyuncu var,
hover.rooms_online.0,There are currently no active rooms,,Momentálně nejsou žádné aktivní místnosti,Zurzeit gibt es keine aktiven Räume,No hay salas activas,Ei aktiivisia huoneita,Il n'y a actuellement aucune salles active,Al momento non ci sono stanze attive,現在 開いているルームがありません,활동 중인 방이 없습니다,,Er zijn momenteel geen kamers actief.,Nie ma żadnych aktywnych pokoi,Não há salas ativas,Активных групп: 0,Şu anda aktif oda yok,
hover.rooms_online.1,There is currently 1 room active,,Momentálně je aktivní 1 místnost,Zurzeit ist nur 1 Raum aktiv,Hay una sala activa,1 aktiivinen huone,Il y a actuellement 1 salle active,Al momento c'è 1 stanza attiva,現在 開いているルームが 1部屋あります,1 개의 방이 활동 중입니다,,Er is momenteel 1 kamer actief.,Jest 1 aktywny pokój,Há 1 sala ativa,Активных групп: 1,Şu anda 1 aktif oda var,
hover.rooms_online.n,There are currently {$1} rooms active,,Momentálně jsou aktivní {$1} místnosti,Zurzeit gibt es {$1} aktive Räume,Hay {$1} salas activas,{$1} aktiivista huonetta,Il y a actuellement {$1} salles active,Al momento ci sono {$1} stanze attive,現在 開いているルームが {$1}部屋あります,{$1} 개의 방이 활동 중입니다,,Er zijn momenteel {$1} kamers actief.,jest teraz {$1} aktywnych pokoi,Há {$1} salas ativas,Активных групп: {$1},Şu anda {$1} aktif oda var,
hover.friends_online.0,There are currently no friends online,,Právě nejsou žádní kamarádi online,Zurzeit sind keine Freunde online,No hay amigos en línea,Ei kavereita online-tilassa,Il n'y a actuellement aucun amis en ligne,Al momento non ci sono amici online,現在 オンラインのフレンドがいません,모두 오프라인이네요...,,Er zijn momenteel geen vrienden online.,żaden z twoich przyjaciół nie jest onllne,Não tens amigos online,Друзей в сети: 0,Şu anda çevrimiçi arkadaş yok,
hover.friends_online.1,There is currently 1 friend online,,Právě je 1 kamarád online,Zurzeit ist nur 1 Freund online,Hay 1 amigo en línea,1 kaveri on online-tilassa,Il y a actuellement 1 ami en ligne,Al momento c'è 1 amico online,現在 オンラインのフレンドが 1人います,1 명의 친구가 온라인입니다,,Er is momenteel 1 vriend online.,Jest teraz 1 przyjaciel online,Tens 1 amigo online,Друзей в сети: 1,Şu anda çevrimiçi 1 arkadaş var,
hover.friends_online.n,There are currently {$1} friends online,,Právě jsou {$1} kamarádi online,Zurzeit sind {$1} Freunde online,Hay {$1} amigos en línea,{$1} kaveria on online-tilassa,Il y a actuellement {$1} amis en ligne,Al momento ci sono {$1} amici online,現在 オンラインのフレンドが {$1}人います,{$1} 명의 친구가 온라인입니다,,Er zijn momenteel {$1} vrienden online.,Jest teraz {$1} przyjaciół online,Tens {$1} amigos online,Друзей в сети: {$1},Şu anda çevrimiçi {$1} arkadaş var,
hover.rooms_page_disclaimer,"Please note that this page does not offer any functionality to join a room directly.
To join a specific room, you'll need to either join through a friend, or hope to join it by joining the online servers.",,"Upozorňujeme, že tato stránka nenabízí žádnou funkci pro přímé připojení k místnosti.
Chceš-li se připojit ke konkrétní místnosti, budeš se muset buď připojit prostřednictvím kamaráda, nebo doufat, že se k ní připojíš připojením k online serverům.","Bitte beachte, dass diese Seite keine Funktion bietet, um dich mit einem Raum direkt zu verbinden.
Um einem bestimmten Raum beizutreten, musst du entweder über einen Freund treffen oder hoffen, ihm beizutreten, indem du in den Online-Servern beitrittst.","Atención. Esta pagina no tiene la funcionalidad de unirte a una sala directamente. Para unirte a una sala en especifico, necesitará unirse mediante un amigo, o con suerte, encontrando la sala en VS Mundial.","Huomioi, että tältä sivulta ei voi liittyä huoneeseen suoraan.
Liittyäksesi tiettyyn huoneeseen, se tulee tehdä joko kaverin kautta tai toivoa että pääset siihen liittymällä verkkopeliin.","Attention, cete page ne propose pas la possibilité de rejoindre la salle directement.
Pour rejoindre une salle spécifique, vous devez soit la rejoindre via un ami ou espérer de la rejoindre via les serveur en ligne.","Attenzione, questa pagina non offre alcuna funzionalità per unirsi ad una stanza direttamente.
Per unirsi ad una specifica stanza, dovrai farlo tramite un amico oppure sperare di unirti tramite i server online.","ルームに直接合流する機能はないことに注意してください。
特定のルームに参加するには、フレンドを通して合流するか、オンラインサーバーに参加して合流する必要があります。","주의) 해당 페이지에선 방에 직접 합류하는 기능은 없습니다.
특정 방에 들어가려면, 친구를 통해 들어가거나 온라인 서버에 가입하여 들어가야 합니다.",,"Let op dat deze pagina er niet voor kan zorgen om direct deel te nemen aan een kamer.
Om aan een specifieke kamer deel te nemen, moet je dit óf via een vriend óf via de online servers doen.","Prosze pamiętaj, że ta strona nie daje możliwości dołączenia prosto do pokoju. By dołączyć do specyficznego pokoju musisz dołączyć poprzez przyjaciela lub mieć nadzieje, że uda ci się połączyć poprzez losowy serwer.","Tem em conta que esta página não te oferece a funcionalidade de entrares  diretamente numa sala. Para entrares numa sala em específico, terás de entrar através de um amigo, ou então esperas que entres na sala ao entrares nos servers online","Вы не можете заходить в комнаты прямо через это меню. Чтобы зайти в определённую комнату, вам нужно либо зайти через друга, либо надеяться попасть в неё через онлайн сервера.","Lütfen bu sayfanın doğrudan bir odaya katılma işlevi sunmadığını unutmayın.
Belirli bir odaya katılmak için bir arkadaşınız aracılığıyla katılmanız veya çevrimiçi sunuculara katılarak bu odaya girmeyi ummanız gerekecek.",
hover.friends_page_disclaimer,To add friends you need to add them in-game.,,"Chceš-li přidat kamarády, musíš je přidat ve hře.",Um Freunde hinzuzufügen musst du sie innerhalb des Spiels registrieren,Para añadir a amigos necesitas añadirlos en el juego.,Kavereiden lisääminen täytyy tehdä pelin sisällä.,Ajouter des amis que vous voulez dans le jeu.,"Per aggiungere amici, devi farlo all'interno del gioco.",フレンドを追加するためにはゲーム内で追加する必要があります,친구 추가는 게임 내에서 추가해야 합니다.,,Om vrienden toe te voegen moet je ze in het spel toevoegen.,By dodać przyjaciół musisz ich dodać w grze,Para adicionar amigos precisas de adicioná-los dentro do jogo.,Чтобы добавить друга нужно сначала подружить,Arkadaş eklemek için onları oyunun içinde eklemeniz gerekiyor.,
hover.region_user_selection,This only shows regions YOU have played on,,"To ukazuje pouze regiony, ve kterých TY jsi hrál","Dies zeigt dir Regionen, in denen DU gespielt hast.",Esto solo muestra las regiones en las que TÚ has jugado.,"Näyttää vain alueet, joilla itse olet pelannut",Ceci montre les régions que VOUS avez jouez,Questo fa vedere solo le regioni in cui TU hai giocato,これはあなたがプレイした地域のみを表示します,플레이한 지역만 표시합니다.,,Dit toont alleen regio's waarop JIJ hebt gespeeld.,"To tylko pokazuje regiony, w których TY grałeś.",Isto só mostra regiões onde TU já jogaste.,,Bu sadece SİZİN oynadığıınız bölgeleri gösterir.,
hover.primary_profile,The primary profile is used as reference in the wheel wizard client,,Primární profil se používá jako reference v klientovi Wheel Wizard,Dein Hauptprofil wird als Vergleich im Wheel Wizard Client verwendet.,El perfil principal es usado como referencia en Wheel Wizard.,Pääprofiilia käytetään viitteenä Wheel Wizardissa,Le profil principal est utilisé en tant que référence dans Wheel Wizard,Il profilo primario è utilizzato come riferimento in Wheel Wizard,メインのプロファイルはWheel Wizardクライアントで参照されます,메인 프로필은 휠 위저드 클라이언트에서 참조됩니다.,,Het hoofdprofiel wordt gebruikt als referentie in Wheel Wizard.,,O perfil primário é usado como referência no cliente do Wheel Wizard.,,"Ana profil, Wheel Wizard için referans olarak kullanılır.",
empty_content.no_profiles,You have to play the game at least once in order to see your profiles listed here,,"Hru musíš hrát aspoň jednou, abys viděl tvé profily zde uvedené","Du musst das Spiel mindestens ein Mal gespielt haben, um deine Profile hier aufgelistet zu sehen.",Tienes que jugar el juego mínimo una vez para poder ver tus perfiles listados aca.,Sinun on pelattava peliä vähintään kerran nähdäksesi profiilisi listalla,Vous devez avoir lancé le jeu au moins une fois pour voir vos profils listé ici,Devi aver giocato almeno una volta per vedere la lista dei tuoi profili qui,ここにプロフィールを載せるには一度プレイする必要があります,게임을 한 번 이상 실행해야 프로필을 볼 수 있습니다.,,Je moet het spel minimaal één keer hebben gespeeld om hier jouw profielen te kunnen bekijken.,Musisz zagrać w gre przynajmniej raz by zobaczyć tu swoje profle,Tens de jogar o jogo pelo menos uma vez para poderes ver o teu perfil aqui escrito,"Ваши профили появятся здесь, как только вы сыграете хотя бы раз.",Profillerinizi burada görmek için oyunu en az bir kez oynamanız gerekiyor.,
empty_content.no_friends_title,No friends yet!,,Zatím žádní kamarádi!,Noch keine Freunde!,Aun no has agregado amigos,Ei kavereita vielä.,Pas d'amis pour le moment !,Ancora nessun amico!,まだフレンドがいません！,아직 친구가 없어요!,,Je hebt nog geen vrienden!,Brak przyjaciół!,Ainda não adicionaste amigos!,У вас еще нет друзей!,Henüz arkadaş yok!,
empty_content.no_friends,You can add friends in-game,,Můžeš přidat kamarádi ve hře,Du kannst Freunde im Spiel hinzufügen,Puedes añadir amigos dentro del juego,Voit lisätä kavereita pelissä,Vous pouvez ajouter vos amis in-game,Puoi aggiungere amici all'interno del gioco,ゲーム内でフレンドを追加できます,게임에서 친구를 추가 할 수 있습니다.,,Je kan vrienden in het spel toevoegen.,Możesz dodać przyjaciół w grze,Podes adicionar amigos dentro do jogo,Друзей можно добавить через игру,Oyunda arkadaş ekleyebilirsiniz,
empty_content.no_mods,Mods can alter how the game works. Start importing your first mod by clicking the button below.,,Mody mohou změnit fungování hry. Začni importovat tvůj první mod kliknutím na tlačítko níže.,"Mods können die Funktionsweise des Spiels verändern. Beginne mit dem Importieren deines ersten Mods, indem du auf die Schaltfläche unten klickst.",Los mods pueden alterar el funcionamiento del juego. Importa tus mods apretando en el botón de abajo,Modit voivat muuttaa pelin toimintoja. Tuo ensimmäinen modisi painamalla alla olevaa painiketta.,Les mods permettent de modifer comment le jeu va se comporter. Commencez à importer votre premier mod en cliquant sur le bouton en dessous.,Le mod possono alterare come funziona il gioco. Inizia importando la tua prima mod cliccando il pulsante sottostante.,Modでゲームを改変 (キャラクターの見た目など) できます。下のボタンを押してModのインポートを開始してください。,모드는 게임 작동 방식을 바꿀 수 있습니다. 모드를 불러오기 위해 아래 버튼을 클릭해 주세요.,,Mods kunnen de game aanpassen. Start met het importeren van jouw eerste mod door op de importeerknop te drukken.,Mody mogą zmienić jak gra działa. Zacznij importować swój pierwszy mod klikając przycisk poniżej.,Mods podem alterar o funcionamento do jogo.Começa a importar o teu primeiro mod clicando no botão abaixo,"С помощью модов можно изменять поведение игры. Чтобы импортировать свой мод, нажмите кнопку ниже.",Modlar oyunun işleyişini değiştirebilir. İlk modunuzu içe aktarmaya başlamak için aşağıdaki butona tıklayın.,
empty_content.no_mods_title,No mods found,,Nebyly nalezeny žádné mody,Keine Mods gefunden.,No se encontraron mods.,Modeja ei löytynyt,Pas de mods trouvés,Nessuna mod trovata,Modが見つかりませんでした,모드를 찾을 수 없습니다.,,Geen mods gevonden,Nie znaleziono modów,Mods não encontrados,Моды не найдены,Mod bulunamadı,
empty_content.no_rooms,"You might not have internet connection, or no-one might be playing.",,"Možná nemáš připojení k internetu, nebo nikdo nehraje.",Möglicherweise hast du keine Internetverbindung oder es spielt niemand.,"Puedes no tener conexión a internet, o que nadie esté jugando actualmente.",Sinulta joko puuttuu internet-yhteys tai kukaan ei ole pelaamassa tällä hetkellä.,Vous n'avez pas de connexion internet ou personne n'est en train de jouer.,Potresti non avere una connessione ad internet oppure nessuno sta giocando al momento.,インターネットに接続されていないか、誰もプレイしていない可能性があります。,"인터넷 연결이 끊어졌거나, 아무도 플레이하고 있지 않은 상태입니다.",,Het kan zijn dat je momenteel geen internetverbinding hebt of er is momenteel niemand aan het spelen.,Możesz nie mieć połączenia z internetem lub nikt teraz nie gra.,"Poderás estar sem conexão à internet, ou talvez ninguém esteja a jogar","Возможно, у вас нет подключения к Интернету, либо никто сейчас не играет.",İnternet bağlantınız olmayabilir veya kimse oyun oynamıyor olabilir.,
empty_content.no_rooms_title,No rooms found,,Nebyly nalezeny žádné místnosti,Keine Räume gefunden.,No se encontraron salas.,Huoneita ei löytynyt,Aucune salles trouvées,Nessuna stanza trovata,ルームが見つかりませんでした,방을 찾을 수 없습니다.,,Geen kamers gevonden,Nie znaleziono pokoi,Não se encontraram salas.,Комнаты не найдены,Oda bulunamadı,
empty_content.no_miis_title,No Miis yet!,,Zatím žádné Miiy!,Noch keine Miis erstellt!,No hay Miis todavía!,Ei Mii-hahmoja vielä.,Aucun Mii!,Ancora nessun Mii!,まだMiiがありません！,아직 Mii가 없어요!,,Je hebt nog geen Mii's!,Brak Mii!,Sem Miis ainda!,У вас еще нет Mii!,Şimdilik Mii yok!,
empty_content.no_miis,We can't read the Mii data from your system. Make sure you started the game at least once,,"Nemůžeme číst data Mii z tvého systému. Ujisti se, že jsi hru aspoň jednou spustil",Die Mii-Daten können nicht von deinem System aus geladen werden. Stelle sicher dass du dein Spiel mind. 1 Mal neu startest.,No podemos leer la información de Miis de tu sistema. Asegurate que hayas lanzado el juego al menos una vez.,"Mii-tietojen lukeminen järjestelmältäsi epäonnistui. Varmista, että olet käynnistänyt pelin ainakin kerran.",Nous ne pouvons pas lire les données du Mii de votre système. Veuillez vérifier que vous avez lancé le jeu au moins une fois,Non possiamo leggere i dati dei Mii dal tuo sistema. Assicurati che hai avviato il gioco almeno una volta,Miiのデータを読み込めません。必ず一度はゲームを起動してください。,Mii 데이터를 읽을 수 없습니다. 게임을 한 번 이상 실행하십시오.,,We kunnen de Mii-data van jouw systeem niet aflezen. Zorg ervoor dat je het spel minimaal één keer hebt gespeeld.,"Nie możemy odczytać danych Mii z twojego systemu. Upewnij sie, że uruchomiłeś gre przynajmniej raz",Não conseguimos ler os dados Mii do teu sistema. Certifica-te que já iniciaste o jogo pelo menos uma vez.,,Sisteminizden Mii bilgisini okuyamıyoruz. Oyunu en az bir kez başlattığınıza emin olun.,
empty_content.no_mod_selected_title,No mod selected,,Není vybrán žádný mod,Keine Mod ausgewähltt.,,Ei modia valittuna,Aucun mod sélectionné,Nessuna mod selezionata,Modが選択されていません,선택된 모드가 없습니다.,,Geen mod geselecteerd,Nie wybrano moda,Nenhum mod selecionado,Моды не выбраны,Hiçbir mod seçilmedi,
empty_content.no_mod_selected,Select a mod in the list to view its details,,Vyber mod v seznamu pro zobrazení jeho podrobností,Wähle eine Mod aus der Liste um mehr Details zu sehen.,,Valitse modi listalta nähdäksesi sen tiedot,Sélectionner un mod dans la liste pour voir ces détails,Seleziona una mod nella lista per vedere i suoi dettagli,リスト内のModを選択して詳細を表示します,모드를 선택해서 자세한 설명을 보세요,,Mod-naam,Wybierz moda na liście by zobaczyć jego szczegóły,Seleciona um modo na lista para ver os seus detalhes,"Выберите мод из списка, чтобы узнать подробности.",Detaylarını görmek için listeden bir mod seçin,
time.days.1,1 day,,1 den,1 Tag,1 día,1 pv,1 Jour,1 giorno,1日,1일,,1 dag,1 dzień,1 dia,1 день,1 gün,
time.days.n,{$1} days,,{$1} dny,{$1} Tage,{$1} días,{$1} pv,{$1} Jours,{$1} giorni,{$1}日,{$1}일,,{$1} dagen,{$1} dni,{$1} dias,{$1} дн.,{$1} gün,
time.hours.1,1 hour,,1 hodina,1 Stunde,1 hora,1 t,1 heure,1 ora,1時間,1시간,,1 uur,1 godz,1 hora,1 ч,1 saat,
time.hours.n,{$1}  hours,,{$1} hodiny,{$1} Stunden,{$1} horas,{$1} t,{$1} heures,{$1} ore,{$1}時間,{$1}시간,,{$1} uren,{$1} godz,{$1} horas,{$1} ч,{$1} saat,
time.minutes.1,1 minute,,1 minuta,1 Minute,1 minuto,1 min,1 minute,1 minuto,1分,1분,,1 minuut,1 min,1 minuto,1 мин,1 dakika,
time.minutes.n,{$1} minutes,,{$1} minuty,{$1} Minuten,{$1} minutos,{$1} min,{$1} minutes,{$1} minuti,{$1}分,{$1}분,,{$1} minuten,{$1} min,{$1} minutos,{$1} мин,{$1} dakika,
time.seconds.1,1 second,,1 sekunda,1 Sekunde,1 segundo,1 s,1 seconde,1 secondo,1秒,1초,,1 seconde,1 sek,1 segundo,1 сек,1 saniye,
time.seconds.n,{$1} seconds,,{$1} sekundy,{$1} Sekunden,{$1} segundos,{$1} s,{$1} secondes,{$1} secondi,{$1}秒,{$1}초,,{$1} secondes,{$1} sek,{$1} segundos,{$1} сек,{$1} saniye,
progress.estimated_time_remaining,Estimated time remaining:,,Předpokládaný zbývající čas:,Geschätzte verbleibende Zeit:,Tiempo restante estimado:,Arvioitu kestoaika:,Temps restant estimé:,Tempo stimato rimanente:,おおよその残り時間:,추정된 남은 시간:,,Geschatte resterende tijd:,Oszacowany pozostały czas.,Tempo restante estimado:,Осталось примерно:,Kalan Tahmini Süre:,
